Train Loss,Val Loss,Val Accuracy,Val Recall,Val F1,Learning Rate,Batch Size,Optimizer,Batch Norm,Weight Decay,Dropout,Hidden Layers,Time Taken Test,Time Taken CV,Train Losses CV,Val Losses CV
1.0529,1.7049,0.4391,0.4417,0.4247,0.001,4,,False,0.0,"[0.0, 0.0, 0.0, 0.0]","[128, 64, 32, 10]",181.06397461891174,27.889397859573364,"[1.67288164 1.44438736 1.35394127 1.32248182 1.25309191 1.20063159
 1.18002597 1.17844469 1.14594531 1.14443232 1.12653101 1.1043025
 1.11204249 1.09461142 1.07935113 1.0772869  1.07424019 1.0563362
 1.03663337 1.04486583 1.0528552 ]","[1.79363395 1.70511909 1.72203651 1.6409496  1.73665999 1.68071708
 1.71525374 1.64939621 1.70884548 1.60865831 1.59947829 1.63901218
 1.62702229 1.63481087 1.60491399 1.67117398 1.6215404  1.64626393
 1.60472143 1.76129396 1.7048733 ]"
1.0164,1.6241,0.4546,0.4534,0.4525,0.001,4,,False,0.0,"[0.0, 0.0, 0.0, 0.0]","[128, 64, 32, 10]",181.06397461891174,39.685826539993286,"[1.69791178 1.50396196 1.39621384 1.32817707 1.28759692 1.22397028
 1.21404966 1.18798274 1.16239415 1.14778765 1.11002445 1.10003145
 1.09424183 1.0925337  1.07108994 1.07140137 1.07605022 1.04652823
 1.05811111 1.0642488  1.04552618 1.03128308 1.03394899 1.04244188
 1.03410191 1.03305352 1.01091378 1.02841974 1.01823493 1.01641881]","[1.81488222 1.77698098 1.67915711 1.67432082 1.71328933 1.67223077
 1.65932807 1.64956186 1.71899436 1.68109925 1.66477612 1.67963143
 1.70035723 1.64603523 1.6466961  1.65756315 1.63314722 1.68802819
 1.67892169 1.59429194 1.61198628 1.65191027 1.64876623 1.69739181
 1.65503973 1.63213433 1.61020156 1.64113948 1.67807635 1.62412759]"
1.0721,1.6641,0.4422,0.4417,0.4377,0.001,4,,False,0.0,"[0.0, 0.0, 0.0, 0.0]","[128, 64, 32, 10]",181.06397461891174,20.864546537399292,"[1.69144239 1.45523707 1.34707435 1.30050181 1.25362178 1.2133397
 1.19581256 1.16710142 1.13197133 1.11927118 1.1022178  1.114578
 1.09589493 1.08823994 1.07209051]","[1.76693731 1.75438923 1.68686981 1.69356707 1.62657296 1.68278744
 1.78080742 1.66574709 1.6404835  1.63504552 1.69516506 1.63320525
 1.69369492 1.65693159 1.66409122]"
1.0008,1.6804,0.4469,0.446,0.4443,0.001,4,,False,0.0,"[0.0, 0.0, 0.0, 0.0]","[128, 64, 32, 10]",181.06397461891174,42.37554860115051,"[1.69627748 1.48381969 1.37146486 1.31793255 1.25443842 1.25130351
 1.21294279 1.20386358 1.16505878 1.15339035 1.14628019 1.1092369
 1.11356814 1.10270237 1.11066335 1.07450188 1.0722362  1.07712552
 1.05687329 1.06113286 1.05713045 1.05575751 1.04900198 1.0524267
 1.04457983 1.04001987 1.02165251 1.0189225  1.02048071 1.00819755
 1.02824078 1.00083201]","[1.75387726 1.69708724 1.6865357  1.6544729  1.70713728 1.64299753
 1.62447635 1.66860373 1.62430355 1.65095282 1.64668044 1.68440391
 1.58674288 1.6629667  1.6108015  1.62680613 1.64371588 1.63026625
 1.70409671 1.70147772 1.64845276 1.57493244 1.65172141 1.58341923
 1.70341116 1.59978591 1.62133668 1.65541641 1.62432347 1.70806319
 1.70733388 1.68041617]"
1.0312,1.6675,0.4509,0.4508,0.438,0.001,4,,False,0.0,"[0.0, 0.0, 0.0, 0.0]","[128, 64, 32, 10]",181.06397461891174,50.058167934417725,"[1.69228408 1.44105712 1.36963475 1.30319078 1.25611538 1.22141388
 1.20385736 1.16014525 1.16147457 1.13225647 1.13248237 1.11665697
 1.11879002 1.08407603 1.09137312 1.08976814 1.07827763 1.05584626
 1.04715524 1.07138644 1.04350382 1.02856236 1.05043331 1.03558458
 1.04332543 1.02144835 1.02135008 1.01552797 1.01884112 1.03553001
 1.01254341 1.02382582 1.00847442 0.99975355 1.00703889 0.99519368
 1.01281508 1.03119856]","[1.80578537 1.70647818 1.75434822 1.65530896 1.68479971 1.68452148
 1.72076756 1.70805363 1.67851146 1.6170522  1.76277641 1.67232549
 1.63743229 1.67990464 1.66054505 1.65566917 1.62253545 1.63744743
 1.6955383  1.59366636 1.60527682 1.62586688 1.6643205  1.71261768
 1.65000713 1.61346334 1.6353366  1.55951576 1.67092192 1.68310853
 1.68452927 1.63300603 1.66303129 1.5934093  1.65131085 1.63979185
 1.6271496  1.66752802]"
1.2371,1.4479,0.489,0.4908,0.4806,0.001,2,,False,0.0,"[0.0, 0.0, 0.0, 0.0]","[128, 64, 32, 10]",494.52667474746704,93.7624340057373,"[1.78582055 1.56923112 1.49125448 1.43625436 1.40750932 1.37961637
 1.36271462 1.34861508 1.3367434  1.31680879 1.31912822 1.30201776
 1.29222365 1.28995989 1.27917663 1.27069405 1.28293154 1.27654661
 1.26612877 1.26291893 1.2592607  1.26602912 1.25273083 1.25910551
 1.25449703 1.2463846  1.24636203 1.24598714 1.23692169 1.24752888
 1.24439023 1.2305221  1.24239808 1.23868142 1.24274759 1.23629634
 1.23708319]","[1.70495755 1.64007474 1.57700176 1.53696873 1.52973853 1.52969037
 1.51379328 1.49320269 1.49937864 1.49174459 1.50200848 1.45944678
 1.47676152 1.46666565 1.46416978 1.47770495 1.44549632 1.46815502
 1.48084719 1.45835235 1.45081357 1.45252148 1.46770159 1.44213724
 1.45625265 1.44662902 1.42962001 1.45943722 1.43849023 1.45488903
 1.45095875 1.43389635 1.46728178 1.44906734 1.46865548 1.44417388
 1.44785909]"
1.2324,1.431,0.4863,0.4847,0.4822,0.001,2,,False,0.0,"[0.0, 0.0, 0.0, 0.0]","[128, 64, 32, 10]",494.52667474746704,116.62188696861267,"[1.80577532 1.56331144 1.48365791 1.44032394 1.40254382 1.38147444
 1.36446458 1.33198544 1.31706693 1.31912636 1.29904047 1.29851311
 1.2884093  1.28674379 1.27904988 1.28034716 1.27664834 1.28158796
 1.26234057 1.26496498 1.24896895 1.24284836 1.24191174 1.24815655
 1.24700828 1.25272419 1.23973493 1.24784346 1.24572635 1.23855339
 1.23742942 1.23823911 1.2314106  1.22866746 1.23375225 1.22635934
 1.23236153 1.2367592  1.22689129 1.22363571 1.23305787 1.23125142
 1.23243088]","[1.70616997 1.61427133 1.57372825 1.55054953 1.56769724 1.52226604
 1.49030807 1.50496834 1.5120231  1.50938128 1.46734695 1.49702606
 1.47273625 1.49220245 1.46567112 1.50539684 1.50093971 1.4984803
 1.46921229 1.46774167 1.49084213 1.44790682 1.49195727 1.47503632
 1.45035475 1.47676232 1.46734043 1.44164535 1.49135876 1.44478934
 1.45869236 1.45808635 1.41871242 1.4668614  1.47954995 1.46910462
 1.42979017 1.43717237 1.43253613 1.46623757 1.48111847 1.4347718
 1.43095206]"
1.244,1.4895,0.477,0.4774,0.471,0.001,2,,False,0.0,"[0.0, 0.0, 0.0, 0.0]","[128, 64, 32, 10]",494.52667474746704,76.30873966217041,"[1.79360909 1.56906189 1.48692789 1.42720297 1.38395483 1.3744412
 1.34292552 1.33620101 1.32413018 1.31816527 1.30863318 1.28980234
 1.27682914 1.27512798 1.27607557 1.28321126 1.2784558  1.2747339
 1.26034365 1.26598078 1.25825515 1.25316581 1.25095653 1.25725529
 1.24567631 1.25866098 1.25298197 1.24397684]","[1.71954669 1.62689368 1.59724234 1.56258935 1.54832945 1.53238099
 1.5287854  1.51653301 1.54119913 1.48053991 1.50069388 1.48409758
 1.48466049 1.49364098 1.49207573 1.4815438  1.50059569 1.4718679
 1.49241912 1.51001458 1.51344987 1.53101106 1.48106831 1.48940517
 1.50836394 1.50837627 1.47450586 1.48947088]"
1.235,1.4569,0.4891,0.4891,0.4887,0.001,2,,False,0.0,"[0.0, 0.0, 0.0, 0.0]","[128, 64, 32, 10]",494.52667474746704,120.69054341316223,"[1.79158268 1.57594634 1.49625229 1.44302982 1.40464292 1.37595126
 1.35404308 1.34011506 1.31692414 1.3098957  1.30394126 1.29311746
 1.29445071 1.27324243 1.27309504 1.27343512 1.26888595 1.27454543
 1.26665095 1.26774965 1.24882241 1.26009302 1.26684756 1.24895524
 1.23990053 1.2508447  1.24567778 1.2401327  1.23415914 1.23903613
 1.24747549 1.23847816 1.23552088 1.2362239  1.21925689 1.23917434
 1.22423859 1.21843716 1.22834709 1.22792143 1.2266443  1.22940752
 1.22488674 1.22047111 1.22410833 1.22569077 1.23497765]","[1.70808543 1.62932218 1.6072053  1.5423426  1.54354153 1.51160903
 1.5242929  1.49336533 1.4827742  1.49386759 1.49262741 1.49758398
 1.46952448 1.47843533 1.48214559 1.50579781 1.47990867 1.48666897
 1.51990967 1.4812086  1.4750021  1.45116276 1.46891448 1.46187898
 1.47967051 1.44509511 1.47801452 1.46570529 1.4855468  1.44902782
 1.46064908 1.44230341 1.47205171 1.45357916 1.45221185 1.45413913
 1.43656931 1.4797196  1.44999899 1.4542907  1.45523998 1.50668703
 1.4564958  1.45407926 1.43912808 1.50261079 1.45687202]"
1.2387,1.4601,0.4862,0.4871,0.4829,0.001,2,,False,0.0,"[0.0, 0.0, 0.0, 0.0]","[128, 64, 32, 10]",494.52667474746704,86.95885252952576,"[1.78920154 1.56933408 1.4860973  1.43072996 1.38948868 1.37733335
 1.35653949 1.34733967 1.32694789 1.31213495 1.31069266 1.29360747
 1.29253669 1.29129799 1.27977164 1.28072469 1.27054017 1.26425268
 1.27330702 1.26970957 1.2519374  1.25191691 1.26173377 1.26118304
 1.25574317 1.24688185 1.25310207 1.24791456 1.24098546 1.23864763
 1.24688552 1.22785347 1.23872731]","[1.71011814 1.6226709  1.61731177 1.56430096 1.53757742 1.5369059
 1.50613132 1.50612524 1.48828251 1.49023554 1.52484879 1.50775823
 1.49882494 1.46972337 1.49581888 1.47372152 1.48747488 1.48224011
 1.46741467 1.47084997 1.46700625 1.48968282 1.42760022 1.52709578
 1.47913038 1.46600868 1.47992111 1.49285661 1.4551988  1.45723696
 1.44890269 1.46441304 1.46012892]"
