Fold,Hyperparameters,Train Losses,Val Losses,Val Accuracy,Val Recall,Val F1,Time Taken,Early Stop Epoch
1,"{""weight_decay"": 0.0, ""hidden_layers"": [128, 64, 32, 10], ""dropout"": [0.0, 0.0, 0.0, 0.0], ""lr"": 0.001, ""optimiser"": null, ""bn"": false, ""batch_size"": 2}","[1.7645806480501898, 1.569663507556646, 1.4856397407691389, 1.4269912718787714, 1.4078034916848257, 1.3779865987157578, 1.3469180988820972, 1.3288297565516776, 1.3128786158211911, 1.3103229482628005, 1.296582396629329, 1.292947696011109, 1.2876265300904248, 1.2857959432087949, 1.2786567339682011, 1.2711299253781967, 1.2742382776926344, 1.2722388543508028, 1.2699560351006676, 1.255290401887706, 1.2700256125094562, 1.2615972469508432, 1.2556420017958354, 1.2536653809911438, 1.2483755558313046, 1.2471072722126135]","[1.7061881175713893, 1.6014729817961262, 1.5638322897294765, 1.5493651582489163, 1.5038073674296057, 1.505797542965856, 1.5091158151275752, 1.49760308949914, 1.4974374377753874, 1.5070884541393137, 1.4787690851651372, 1.4851095933197522, 1.449947518265867, 1.4666874140449278, 1.4832790460625533, 1.447952113424508, 1.476420137154317, 1.4769374186341384, 1.4685706806497374, 1.4874190801812486, 1.497495505692966, 1.4609101639571966, 1.453641447755875, 1.4594034377557945, 1.463440600345936, 1.4539990983056053]",0.4847,0.4856602211197626,0.4810699766830543,69.47691798210144,26
2,"{""weight_decay"": 0.0, ""hidden_layers"": [128, 64, 32, 10], ""dropout"": [0.0, 0.0, 0.0, 0.0], ""lr"": 0.001, ""optimiser"": null, ""bn"": false, ""batch_size"": 2}","[1.8007578855456268, 1.5886577973758917, 1.4966873169995234, 1.443275946379911, 1.4021370758320093, 1.380423616447795, 1.3540472116000615, 1.3328743027598535, 1.3259048242312383, 1.314589926275139, 1.3079812496851746, 1.3003630324740367, 1.28613513355327, 1.2808566458395514, 1.276982790436025, 1.279546746578327, 1.269630020450302, 1.2523188215702798, 1.2640862265067363, 1.2617695674844664, 1.2634177210060278, 1.2533075688998676, 1.2490845826099453, 1.2421368222861102, 1.246559269418919, 1.2529763620282046, 1.236168175137664, 1.237791110234415, 1.242122143672336, 1.235107187074711, 1.2388727312156]","[1.7079139302678554, 1.6454781213467482, 1.5589315194369928, 1.5420436882511375, 1.5333831254931676, 1.5106754284235415, 1.5123833603084516, 1.505713673393353, 1.5000421734930318, 1.5084953180086187, 1.5011933651952285, 1.4606158925426365, 1.470200865486354, 1.5123451662180512, 1.4638360156094345, 1.474381222616909, 1.4818831680562874, 1.4811227741693114, 1.4687487167058428, 1.4561690903731814, 1.4430817048648705, 1.4748406436309234, 1.4680329506911782, 1.507043637862055, 1.4452706790063645, 1.481610484115688, 1.5063127233045424, 1.484100000038071, 1.4458481932846328, 1.4702856631413865, 1.4667922728602019]",0.4822,0.48024209150648717,0.47755206609823314,82.78273367881775,31
3,"{""weight_decay"": 0.0, ""hidden_layers"": [128, 64, 32, 10], ""dropout"": [0.0, 0.0, 0.0, 0.0], ""lr"": 0.001, ""optimiser"": null, ""bn"": false, ""batch_size"": 2}","[1.7418494493702485, 1.5449239295370183, 1.4827189444666984, 1.4295369570850416, 1.3997841152522792, 1.379323967188454, 1.345068319336849, 1.3321935117136772, 1.3129317238487241, 1.3008171637163906, 1.2987667387484962, 1.2868179859111974, 1.2819239418281485, 1.2812617710596441, 1.261618569709291, 1.268442119320906, 1.2580113193324038, 1.2607720282969377, 1.264773896477171, 1.257420951749089, 1.2576848115036676, 1.2494372494174464, 1.2537618814695681, 1.2462330140667268, 1.24038912187849, 1.2432968631980605, 1.232829752944135, 1.2366610351551404, 1.2348903980625645, 1.2420524042781615, 1.2417015425470996, 1.2378731879066511, 1.2364595207467493, 1.2242407629640928]","[1.6784103131125367, 1.6125455024470994, 1.5774084615517459, 1.5486793860849382, 1.5675596835554702, 1.524970789278766, 1.5143042766405312, 1.4996209741219448, 1.4764214349288618, 1.512205548901811, 1.4779688080108235, 1.4995927554276616, 1.506447003606043, 1.4824288711309426, 1.4951548704060194, 1.4853052586722908, 1.46113658286416, 1.498500354688565, 1.4711610982704328, 1.4675406853725002, 1.45156477860997, 1.451862871835632, 1.4853333228374757, 1.4394054402842562, 1.4446372175459625, 1.4546167867359996, 1.4618730693826136, 1.4941360485799782, 1.4781328170732777, 1.4748902528351142, 1.4583662782670845, 1.4645166055896115, 1.4464195580160428, 1.4575360531266266]",0.4882,0.4888674745508948,0.48151510238476725,90.04643702507019,34
4,"{""weight_decay"": 0.0, ""hidden_layers"": [128, 64, 32, 10], ""dropout"": [0.0, 0.0, 0.0, 0.0], ""lr"": 0.001, ""optimiser"": null, ""bn"": false, ""batch_size"": 2}","[1.776468809059001, 1.5632858413351194, 1.4846139940849485, 1.439004276909039, 1.390172598088325, 1.367678899315764, 1.3481883908093035, 1.3344724412605302, 1.3148494528357089, 1.3102349451185742, 1.2997218932473236, 1.2936290158555945, 1.2905794720116877, 1.2832249425855213, 1.278708378394986, 1.2660258795856898, 1.274242728450773, 1.2668843291305822, 1.2598018905459205, 1.2486278408279918, 1.2666248409620475, 1.2457432473246028, 1.2520064072900692, 1.2503049563529298, 1.2461940389756456, 1.236664503831174, 1.2480029316314558, 1.2420118655788626, 1.2465026795389085, 1.237117752627381, 1.2445591010244659, 1.2445123296240206, 1.2425886515767746, 1.240694904121726, 1.2398390491405007, 1.2414431471234406, 1.23513729189218]","[1.7194124592617126, 1.6143213107194974, 1.593063193333088, 1.5330330506874548, 1.543491679884461, 1.5207251881509067, 1.5278883660824516, 1.5166587569590892, 1.4951729897267028, 1.5239114311782944, 1.498665719490818, 1.545619150474441, 1.499716316163359, 1.4801660815253364, 1.5344184878847762, 1.4931381931319478, 1.4971742740017868, 1.4858493455521569, 1.4669843155554583, 1.4973334400350924, 1.4992205875043743, 1.4724068286125027, 1.4834562616663083, 1.4835503649966577, 1.4933666664685246, 1.489787311746012, 1.4623052481347685, 1.4674156671087453, 1.4797879171526804, 1.48988651670812, 1.47208416056839, 1.4884099397063524, 1.4969128641029146, 1.4784389694983746, 1.4776829623125625, 1.483629491303206, 1.4754239859791358]",0.4823,0.482732580990477,0.48440351374451235,97.75635385513306,37
5,"{""weight_decay"": 0.0, ""hidden_layers"": [128, 64, 32, 10], ""dropout"": [0.0, 0.0, 0.0, 0.0], ""lr"": 0.001, ""optimiser"": null, ""bn"": false, ""batch_size"": 2}","[1.7611694250713823, 1.5657025177828794, 1.4849117631377784, 1.4343491788374205, 1.4011713476939285, 1.3781952504170425, 1.3478425544984534, 1.3327123801722474, 1.3261197370827242, 1.3043831854321037, 1.2940511761896416, 1.2977069199330842, 1.2851574230134897, 1.2895239340593871, 1.2864578753149114, 1.277550668706088, 1.266754988656281, 1.2633543922951551, 1.2668397373260267, 1.256110252893363, 1.254895820601837, 1.261488727946035, 1.2564420013073518, 1.25560108593381, 1.2533315334979118, 1.2538772769611928, 1.247418095762518, 1.251902703401748, 1.2385638544019704, 1.2446860109468016, 1.2427557424977134, 1.2299640653595232, 1.2333083263661364, 1.2304111954645411, 1.2355457631889726, 1.236625811376831, 1.2470472787824962, 1.236019309079815, 1.2263812906419564, 1.2261857468760053, 1.2293035398806689, 1.2304115746324324, 1.230398377768189, 1.2277365212722944, 1.2300331060490952, 1.224225255519312, 1.2264379703775348, 1.2260752737786338, 1.2305572207675264, 1.2288803770815437]","[1.687462863041375, 1.6140965387355224, 1.5557792458079254, 1.5655481791452976, 1.544158792488432, 1.520537867336739, 1.506255822914125, 1.502864622962983, 1.4817170137910514, 1.5363171771550606, 1.4908057390675076, 1.4668963326267475, 1.4762861910931937, 1.4853356023471667, 1.4940671533351328, 1.4729146286233117, 1.469948147101497, 1.4894263799497762, 1.4927479948714588, 1.4867027051606425, 1.5003017624072417, 1.4559728732475734, 1.5162746218306071, 1.4628074506970405, 1.472231109230661, 1.500928231742935, 1.455379352719072, 1.45413761422077, 1.4628712154250563, 1.4719727376678262, 1.4546760057949997, 1.4586604130679022, 1.477869212101939, 1.5016355500346021, 1.4857171505016635, 1.4603141249174516, 1.4453038510460825, 1.4467780890456003, 1.4732734266307688, 1.446126766592104, 1.4363594589907904, 1.4753332324534223, 1.4528156546738455, 1.4497341057259117, 1.4353055490357038, 1.4391801222057032, 1.4489008385978495, 1.4601269659625506, 1.4414054090793893, 1.466902962831582]",0.481,0.4806102139065775,0.47316249437122104,129.85789370536804,
1,"{""weight_decay"": 0.0, ""hidden_layers"": [128, 64, 32, 10], ""dropout"": [0.0, 0.0, 0.0, 0.0], ""lr"": 0.001, ""optimiser"": null, ""bn"": true, ""batch_size"": 16}","[0.9603082602934088, 0.7521860943569192, 0.7190954005833587, 0.7464971240112087, 0.746240117762444, 0.770178463888326, 0.7668423342889846, 0.7635093294558396, 0.7887138566638688, 0.830493987085721, 0.7891643289311433]","[2.7524096103035927, 2.9030877372911563, 2.9047552504652097, 3.074356347172043, 3.37505479168948, 3.1182533799304863, 3.1794065711286272, 3.1758652707434747, 2.944510625206984, 2.8604083587334217, 2.9100789253716863]",0.2649,0.2654227438184058,0.2616104427242359,12.322490453720093,11
2,"{""weight_decay"": 0.0, ""hidden_layers"": [128, 64, 32, 10], ""dropout"": [0.0, 0.0, 0.0, 0.0], ""lr"": 0.001, ""optimiser"": null, ""bn"": true, ""batch_size"": 16}","[0.9637643099984258, 0.7268346427217203, 0.7196322427142734, 0.7453849328567711, 0.6901725966671058, 0.7373288637167119, 0.7573320709189675, 0.773897802082105, 0.7744612193061821, 0.8069138815296494, 0.9168512890189849]","[2.6359592597449937, 2.817035869271448, 3.004838870354151, 3.0296615390041204, 3.0246710431586123, 3.1278539318464307, 3.0295864244121136, 2.9804125583377283, 3.1074406730531807, 2.888091845686065, 2.746247587432164]",0.2654,0.26412111321929355,0.26055491413209186,12.282922506332397,11
3,"{""weight_decay"": 0.0, ""hidden_layers"": [128, 64, 32, 10], ""dropout"": [0.0, 0.0, 0.0, 0.0], ""lr"": 0.001, ""optimiser"": null, ""bn"": true, ""batch_size"": 16}","[0.9400946701918796, 0.7086806983966019, 0.692284874370284, 0.6985948608500233, 0.718449369523917, 0.7326108307605136, 0.7562692619747424, 0.7181586858075357, 0.7807839892534213, 0.8054512567984013, 0.837901591683767]","[2.643775605765712, 2.8489279768397617, 3.0073500507909348, 2.935184605435493, 3.0499792597139437, 3.0077590365564926, 3.0829068235005304, 3.2026397279827026, 2.8336674727498257, 3.048298927301957, 2.9589435064538425]",0.268,0.2684701412837779,0.2619698619180894,12.478714942932129,11
4,"{""weight_decay"": 0.0, ""hidden_layers"": [128, 64, 32, 10], ""dropout"": [0.0, 0.0, 0.0, 0.0], ""lr"": 0.001, ""optimiser"": null, ""bn"": true, ""batch_size"": 16}","[0.9550405101609089, 0.7197296120919296, 0.6904147357777843, 0.7067559076780521, 0.7198317655846616, 0.7435038914966396, 0.7847664539214784, 0.7719742587351303, 0.8086639956550251, 0.8555485161562705, 0.8718821496577052]","[2.6091495481954494, 2.892054374562497, 3.116989543756937, 3.0236211809198803, 2.980943191116488, 2.9548320306517906, 2.95820636432072, 2.967137512931974, 2.9952722435039463, 2.8645902016740936, 2.9375289164626994]",0.2628,0.262955116605703,0.2539772475043203,12.45878267288208,11
5,"{""weight_decay"": 0.0, ""hidden_layers"": [128, 64, 32, 10], ""dropout"": [0.0, 0.0, 0.0, 0.0], ""lr"": 0.001, ""optimiser"": null, ""bn"": true, ""batch_size"": 16}","[0.9136387404025827, 0.7455055419927054, 0.6908671937883021, 0.7005407934592529, 0.7144071251059169, 0.7404614049497186, 0.7677659023529597, 0.8454912158212319, 0.8276668981486371, 0.8691320181870272, 0.8835569842487461]","[2.660200351978092, 2.8800937023250146, 2.939538456652339, 2.9736102047248716, 3.1285334332124357, 2.8668268980645495, 3.063416896655222, 2.837866812814882, 2.826127987909055, 3.043327658717201, 2.98946391488292]",0.2644,0.26483108905793123,0.26512663455653385,12.490939617156982,11
